PlayerPos,ObstacleXPos,ObstacleY,CoinXPos,CoinYPos,ObstacleNear
434.4,484,752.4,434,723,1
438.6,484,850.8,439,72,1
418.8,460,450,439,698,0
419.4,460,476.4,439,731,0
419.4,460,550,602,42,0
419.4,460,850.8,602,417,1
602.4,285,194,602,723,0
410.4,285,450,338,270,0
337.8,285,550,338,395,0
337.8,285,812.4,338,723,1
366.6,285,850.8,478,-3,1
477.6,323,450,478,623,0
477.6,323,530,478,723,0
462.6,323,550,183,-25,0
364.2,323,850.8,183,350,1
183,586,247.6,183,723,0
183.6,586,450,184,203,0
184.2,586,550,184,328,0
184.2,586,850.8,184,703,1
183.6,211,-34.8,184,723,0
250.8,211,450,242,556,0
251.4,211,550,242,681,0
250.8,211,584.4,242,724,0
403.8,211,850.8,404,282,1
403.8,193,302,404,723,0
514.8,193,450,554,135,0
553.8,193,550,554,260,0
553.8,193,850.8,554,635,1
554.4,398,19.6,554,723,0
246,398,450,246,488,0
246.6,398,550,246,613,0
246.6,398,638,246,723,1
315,398,850.8,315,215,1
315.6,495,355.6,315,723,0
386.4,495,450,568,68,0
455.4,495,550,568,193,0
455.4,495,850.8,568,568,1
550.8,278,77.2,568,728,0
542.4,278,450,542,416,0
541.8,278,550,542,541,0
541.8,278,695.6,542,723,1
425.4,278,850.8,214,143,1
213.6,327,413.2,214,723,0
241.2,327,450,543,-4,0
287.4,327,550,543,121,0
287.4,327,850.8,543,496,1
499.2,234,232.4,543,850,0
552,234,450,552,222,0
551.4,234,550,552,347,0
551.4,234,850.8,552,722,1
551.4,552,-50,552,723,1
404.4,552,450,404,575,0
403.8,552,550,404,700,0
404.4,552,568.4,404,723,0
196.2,552,850.8,196,302,1
196.2,223,286,196,723,0
319.2,223,450,360,155,0
360.6,223,550,360,280,0
360.6,223,850.8,360,655,1
360,187,3.6,360,723,0
518.4,187,450,518,508,0
517.8,187,550,518,633,0
517.8,187,622,518,723,1
394.2,187,850.8,394,235,1
393.6,192,339.6,394,723,0
310.8,192,450,279,88,0
279,192,550,279,213,0
279,192,850.8,279,588,1
279,294,57.2,279,723,0
466.8,294,450,467,441,0
467.4,294,550,467,566,0
466.8,294,675.6,467,723,1
335.4,294,850.8,222,168,1
222.6,615,393.2,222,723,0
265.2,615,450,462,21,0
340.2,615,550,462,146,0
461.4,615,850.8,462,521,1
462,243,110.8,462,723,0
499.2,243,450,499,374,0
498.6,243,550,499,499,0
498.6,243,729.2,499,723,1
407.4,243,850.8,360,101,1
360,245,446.8,360,723,0
357.6,245,450,188,-46,0
282.6,245,550,188,79,0
282.6,245,850.8,188,454,1
187.8,283,164.4,188,723,0
402,283,450,524,307,0
477,283,550,524,432,0
524.4,283,782.8,524,723,1
563.4,283,850.8,563,34,1
529.2,565,450,563,660,0
528.6,565,550,563,785,0
